iter	Passed	Remaining
0	9	9714
1	17	8902
2	26	8718
3	34	8520
4	41	8272
5	49	8152
6	56	8018
7	63	7935
8	71	7847
9	78	7781
10	85	7707
11	94	7761
12	101	7712
13	108	7661
14	116	7651
15	123	7608
16	130	7573
17	138	7552
18	145	7528
19	153	7507
20	160	7490
21	167	7465
22	175	7442
23	182	7428
24	190	7440
25	199	7465
26	206	7442
27	213	7421
28	221	7400
29	228	7380
30	235	7362
31	242	7342
32	249	7321
33	257	7303
34	264	7282
35	271	7267
36	278	7253
37	285	7235
38	293	7237
39	301	7227
40	308	7214
41	315	7199
42	323	7189
43	330	7175
44	337	7170
45	345	7161
46	352	7148
47	359	7134
48	366	7120
49	374	7107
50	381	7095
51	388	7081
52	396	7078
53	403	7073
54	410	7061
55	418	7050
56	425	7041
57	433	7036
58	440	7032
59	450	7061
60	460	7087
61	469	7106
62	479	7133
63	488	7146
64	501	7211
65	513	7263
66	524	7308
67	534	7328
68	547	7384
69	558	7426
70	568	7437
71	579	7466
72	588	7471
73	601	7523
74	613	7569
75	625	7601
76	635	7612
77	644	7616
78	656	7648
79	665	7656
80	676	7672
81	684	7661
82	695	7686
83	709	7733
84	719	7749
85	730	7763
86	741	7778
87	750	7773
88	761	7790
89	769	7783
90	778	7771
91	786	7764
92	794	7746
93	802	7736
94	811	7733
95	820	7722
96	827	7706
97	835	7692
98	843	7673
99	851	7659
100	858	7644
101	866	7626
102	874	7616
103	882	7599
104	890	7587
105	898	7576
106	908	7578
107	915	7558
108	922	7544
109	930	7526
110	937	7508
111	945	7496
112	952	7479
113	960	7461
114	967	7444
115	974	7428
116	982	7414
117	989	7398
118	996	7380
119	1004	7362
120	1011	7349
121	1018	7332
122	1026	7316
123	1033	7300
124	1040	7284
125	1047	7268
126	1054	7251
127	1062	7236
128	1069	7220
129	1076	7203
130	1083	7187
131	1090	7171
132	1097	7156
133	1104	7141
134	1113	7133
135	1120	7118
136	1127	7103
137	1134	7089
138	1142	7074
139	1149	7059
140	1156	7045
141	1163	7031
142	1170	7016
143	1178	7007
144	1186	6996
145	1193	6983
146	1202	6975
147	1209	6965
148	1219	6962
149	1226	6950
150	1235	6944
151	1242	6932
152	1251	6926
153	1258	6915
154	1267	6907
155	1274	6895
156	1281	6883
157	1289	6870
158	1296	6858
159	1304	6846
160	1312	6838
161	1321	6835
162	1328	6823
163	1336	6813
164	1343	6800
165	1351	6791
166	1358	6778
167	1366	6766
168	1373	6754
169	1380	6740
170	1387	6728
171	1395	6715
172	1402	6703
173	1409	6690
174	1417	6681
175	1424	6669
176	1431	6656
177	1438	6643
178	1446	6633
179	1453	6621
180	1460	6609
181	1467	6597
182	1475	6585
183	1482	6574
184	1489	6562
185	1496	6550
186	1503	6537
187	1511	6526
188	1518	6514
189	1525	6502
190	1532	6490
191	1539	6478
192	1546	6467
193	1555	6460
194	1562	6450
195	1569	6438
196	1576	6426
197	1583	6415
198	1591	6404
199	1598	6393
200	1605	6381
201	1613	6372
202	1621	6366
203	1629	6356
204	1637	6351
205	1645	6343
206	1654	6339
207	1663	6333
208	1672	6328
209	1680	6320
210	1688	6314
211	1696	6307
212	1705	6301
213	1713	6292
214	1720	6283
215	1728	6275
216	1736	6264
217	1743	6253
218	1750	6242
219	1757	6232
220	1764	6221
221	1772	6210
222	1779	6199
223	1786	6188
224	1793	6177
225	1800	6165
226	1807	6156
227	1816	6149
228	1823	6140
229	1830	6129
230	1838	6119
231	1845	6108
232	1852	6097
233	1860	6089
234	1867	6078
235	1874	6068
236	1881	6058
237	1889	6048
238	1896	6037
239	1903	6027
240	1910	6016
241	1917	6006
242	1924	5996
243	1932	5987
244	1939	5976
245	1946	5966
246	1953	5956
247	1960	5946
248	1967	5935
249	1974	5924
250	1981	5914
251	1989	5904
252	1996	5894
253	2004	5887
254	2012	5879
255	2019	5870
256	2027	5862
257	2034	5852
258	2042	5842
259	2049	5832
260	2056	5822
261	2063	5812
262	2070	5802
263	2077	5792
264	2085	5783
265	2092	5773
266	2099	5763
267	2106	5753
268	2113	5744
269	2122	5737
270	2130	5731
271	2138	5722
272	2145	5713
273	2153	5704
274	2160	5695
275	2167	5686
276	2175	5679
277	2182	5669
278	2190	5660
279	2197	5650
280	2204	5641
281	2211	5631
282	2219	5622
283	2226	5613
284	2234	5607
285	2242	5597
286	2249	5588
287	2256	5579
288	2263	5569
289	2271	5560
290	2278	5551
291	2285	5542
292	2292	5532
293	2300	5523
294	2307	5513
295	2314	5504
296	2321	5495
297	2329	5487
298	2338	5481
299	2345	5473
300	2353	5465
301	2360	5456
302	2368	5447
303	2375	5438
304	2382	5429
305	2390	5421
306	2397	5411
307	2404	5402
308	2411	5393
309	2419	5384
310	2426	5375
311	2435	5370
312	2442	5361
313	2449	5352
314	2457	5343
315	2465	5336
316	2472	5327
317	2480	5319
318	2487	5310
319	2494	5301
320	2502	5293
321	2509	5285
322	2517	5277
323	2524	5268
324	2532	5260
325	2540	5253
326	2548	5245
327	2555	5235
328	2562	5226
329	2570	5217
330	2577	5208
331	2584	5200
332	2591	5191
333	2599	5182
334	2606	5174
335	2613	5165
336	2620	5156
337	2628	5147
338	2636	5140
339	2643	5132
340	2651	5123
341	2658	5114
342	2665	5105
343	2672	5096
344	2679	5087
345	2687	5080
346	2694	5071
347	2702	5064
348	2712	5059
349	2720	5052
350	2728	5045
351	2738	5040
352	2746	5034
353	2754	5025
354	2761	5017
355	2769	5009
356	2776	5001
357	2784	4993
358	2792	4985
359	2799	4976
360	2807	4969
361	2815	4961
362	2822	4953
363	2829	4944
364	2837	4935
365	2845	4928
366	2852	4919
367	2859	4910
368	2866	4901
369	2873	4893
370	2881	4884
371	2888	4875
372	2895	4867
373	2902	4858
374	2909	4849
375	2916	4840
376	2924	4832
377	2931	4823
378	2938	4814
379	2946	4807
380	2953	4798
381	2960	4789
382	2968	4781
383	2975	4772
384	2982	4764
385	2989	4755
386	2996	4746
387	3003	4738
388	3011	4729
389	3018	4720
390	3025	4712
391	3032	4703
392	3039	4694
393	3047	4687
394	3055	4679
395	3062	4670
396	3069	4662
397	3076	4653
398	3083	4644
399	3090	4636
400	3098	4627
401	3105	4619
402	3112	4610
403	3119	4602
404	3127	4594
405	3134	4586
406	3142	4578
407	3151	4573
408	3158	4564
409	3166	4556
410	3173	4547
411	3180	4539
412	3187	4530
413	3194	4522
414	3201	4513
415	3208	4504
416	3216	4496
417	3223	4488
418	3230	4479
419	3237	4471
420	3246	4464
421	3254	4457
422	3261	4448
423	3268	4440
424	3275	4431
425	3282	4423
426	3290	4415
427	3297	4407
428	3304	4398
429	3312	4390
430	3319	4381
431	3326	4373
432	3333	4364
433	3340	4356
434	3349	4350
435	3356	4342
436	3364	4333
437	3371	4325
438	3378	4317
439	3385	4308
440	3392	4300
441	3399	4292
442	3406	4283
443	3414	4276
444	3422	4268
445	3429	4259
446	3436	4251
447	3443	4243
448	3452	4236
449	3459	4227
450	3466	4219
451	3473	4210
452	3480	4202
453	3487	4194
454	3494	4186
455	3502	4177
456	3510	4170
457	3518	4163
458	3526	4156
459	3534	4149
460	3541	4140
461	3550	4134
462	3559	4127
463	3566	4120
464	3573	4111
465	3581	4103
466	3588	4095
467	3595	4087
468	3602	4079
469	3610	4070
470	3617	4062
471	3624	4054
472	3631	4046
473	3639	4038
474	3646	4030
475	3654	4022
476	3662	4015
477	3669	4007
478	3676	3998
479	3683	3990
480	3690	3981
481	3697	3974
482	3704	3965
483	3712	3957
484	3719	3949
485	3727	3942
486	3734	3933
487	3741	3925
488	3749	3917
489	3756	3910
490	3764	3902
491	3771	3894
492	3778	3885
493	3785	3877
494	3793	3869
495	3800	3861
496	3807	3853
497	3814	3845
498	3821	3837
499	3829	3829
500	3836	3821
501	3845	3814
502	3852	3806
503	3861	3799
504	3868	3792
505	3876	3784
506	3884	3777
507	3891	3768
508	3899	3761
509	3906	3753
510	3915	3746
511	3922	3738
512	3929	3730
513	3936	3722
514	3943	3714
515	3951	3706
516	3958	3698
517	3966	3690
518	3973	3682
519	3980	3674
520	3987	3666
521	3995	3658
522	4002	3650
523	4009	3642
524	4016	3634
525	4024	3626
526	4031	3618
527	4038	3609
528	4045	3601
529	4052	3593
530	4059	3585
531	4067	3578
532	4074	3570
533	4081	3562
534	4089	3554
535	4096	3546
536	4103	3538
537	4110	3530
538	4117	3521
539	4125	3513
540	4132	3505
541	4139	3497
542	4146	3489
543	4153	3481
544	4161	3474
545	4169	3466
546	4176	3458
547	4183	3450
548	4190	3442
549	4197	3434
550	4205	3426
551	4213	3419
552	4221	3412
553	4229	3404
554	4236	3397
555	4245	3389
556	4252	3381
557	4260	3374
558	4269	3367
559	4277	3361
560	4285	3353
561	4294	3346
562	4301	3339
563	4309	3331
564	4317	3324
565	4325	3316
566	4332	3308
567	4340	3301
568	4348	3293
569	4356	3286
570	4363	3278
571	4374	3273
572	4382	3265
573	4389	3257
574	4397	3250
575	4404	3242
576	4413	3235
577	4421	3227
578	4428	3220
579	4436	3212
